date,open,high,low,close,volume,trade,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
11/07/2021,11.0,11.0,11.0,11.0,410.0,24.0,,,,,,
11/08/2021,12.1,12.1,12.1,12.1,4490.0,32.0,,,,,,
11/09/2021,13.3,13.3,13.3,13.3,234.0,15.0,,,,,,
11/10/2021,14.6,14.6,14.6,14.6,1220.0,14.0,,,,,,
11/11/2021,16.0,16.0,16.0,16.0,491.0,27.0,,,,,,
11/14/2021,17.6,17.6,17.6,17.6,470.0,29.0,,,,,,
11/15/2021,19.3,19.3,19.3,19.3,678.0,40.0,,,,,,
11/16/2021,21.2,21.2,21.2,21.2,612.0,34.0,,,,,,
11/17/2021,23.3,23.3,23.3,23.3,1008.0,56.0,,,,,,
11/18/2021,25.6,25.6,25.6,25.6,6059.0,324.0,,,,,,
11/21/2021,28.1,28.1,28.1,28.1,4771.0,75.0,,,,,,
11/22/2021,30.9,30.9,30.9,30.9,8481.0,91.0,,,,,,
11/23/2021,33.9,33.9,33.9,33.9,15558.0,93.0,,,,,,
11/24/2021,37.2,37.2,37.2,37.2,16163.0,126.0,,,,,,
11/25/2021,40.9,40.9,40.9,40.9,20089.0,232.0,,,,,,
11/28/2021,44.9,44.9,44.9,44.9,15398.0,417.0,,,,,,
11/29/2021,49.3,49.3,49.3,49.3,42907.0,829.0,,,,,,
11/30/2021,54.2,54.2,54.2,54.2,74745.0,1210.0,,,,,,
12/01/2021,59.6,59.6,59.6,59.6,84953.0,2038.0,,,,,,
12/02/2021,65.5,65.5,64.5,65.5,4555904.0,58162.0,,,,,,
12/05/2021,72.0,72.0,72.0,72.0,692669.0,14784.0,,,,,,
12/06/2021,78.8,79.2,74.5,79.2,3600631.0,50775.0,,,,,,
12/07/2021,82.9,87.1,79.0,87.1,1406816.0,17195.0,,,,,,
12/08/2021,87.0,94.0,80.8,82.7,3320351.0,39323.0,,,,,,
12/09/2021,83.5,85.8,78.3,79.5,1728199.0,20311.0,,,,,,
12/12/2021,78.6,80.0,74.4,74.8,1989327.0,13605.0,,,,,,
12/13/2021,74.9,82.2,74.5,82.2,1745148.0,8669.0,,,,,,
12/14/2021,84.0,87.9,79.5,80.3,2139673.0,10518.0,,,,,,
12/15/2021,80.0,84.1,79.0,81.7,1192540.0,6652.0,,,,,,
12/19/2021,82.0,87.8,82.0,85.6,1896811.0,18701.0,,,,,,
12/20/2021,86.6,88.8,85.7,86.0,1986963.0,12395.0,,,,,,
12/21/2021,86.0,86.4,81.8,82.0,1272837.0,7105.0,,,,,,
12/22/2021,82.3,85.7,80.8,84.9,1292452.0,7002.0,,,,,,
12/23/2021,85.0,86.8,82.7,83.1,1244382.0,6219.0,,,,,,
12/26/2021,84.0,84.0,78.1,78.7,1073901.0,7462.0,,,,,,
12/27/2021,79.1,80.8,77.1,77.5,963079.0,4892.0,,,,,,
12/28/2021,78.0,80.8,77.4,77.9,1016998.0,5225.0,,,,,,
12/29/2021,78.0,79.0,76.0,76.4,961863.0,3405.0,,,,,,
12/30/2021,76.9,79.0,76.9,77.3,876234.0,3345.0,,,,,,
01/02/2022,78.0,78.9,77.3,78.5,759035.0,1870.0,,,,,,
01/03/2022,79.1,83.9,79.1,81.4,1583351.0,3643.0,,,,,,
01/04/2022,82.0,82.3,79.7,80.0,997671.0,2708.0,,,,,,
01/05/2022,80.4,81.4,78.8,80.4,1217054.0,2958.0,,,,,,
01/06/2022,81.3,81.3,78.8,78.9,923757.0,2338.0,,,,,,
01/09/2022,79.4,80.4,76.9,77.2,719039.0,2300.0,,,,,,
01/10/2022,77.5,78.5,75.3,75.9,829485.0,2646.0,,,,,,
01/11/2022,76.5,78.4,76.0,76.2,713955.0,2223.0,,,,,,
01/12/2022,76.6,77.9,75.4,75.6,571993.0,1813.0,,,,,,
01/13/2022,76.0,76.9,75.0,75.4,452048.0,1442.0,,,,,,
01/16/2022,76.3,76.9,74.4,74.8,594989.0,1946.0,,,,,,
01/17/2022,75.3,78.5,74.6,75.9,762512.0,2391.0,,,,,,
01/18/2022,76.3,76.8,75.0,75.2,457158.0,1615.0,,,,,,
01/19/2022,75.4,75.8,74.4,74.5,477027.0,1748.0,,,,,,
01/20/2022,75.8,75.8,74.2,74.5,375160.0,1593.0,,,,,,
01/23/2022,75.0,76.5,74.7,75.0,373472.0,1255.0,,,,,,
01/24/2022,75.8,76.0,73.0,73.5,282848.0,1249.0,,,,,,
01/25/2022,73.6,74.5,72.3,72.5,312594.0,1221.0,,,,,,
01/26/2022,72.7,73.4,71.0,71.4,338471.0,1244.0,,,,,,
01/27/2022,71.5,72.2,70.6,71.0,264906.0,1065.0,,,,,,
01/30/2022,71.5,74.0,71.1,73.0,408584.0,1514.0,,,,,,
01/31/2022,73.3,74.0,72.1,72.4,261931.0,1189.0,,,,,,
02/01/2022,72.7,73.3,71.5,72.0,219343.0,1001.0,,,,,,
02/02/2022,72.2,73.7,72.0,73.2,290024.0,1144.0,,,,,,
02/03/2022,73.2,76.0,73.1,73.4,448848.0,1707.0,,,,,,
02/06/2022,73.5,75.9,73.4,74.7,397098.0,1598.0,,,,,,
02/07/2022,75.0,77.2,74.4,76.0,657461.0,2102.0,,,,,,
02/08/2022,76.6,77.4,74.5,74.6,492766.0,1578.0,,,,,,
02/09/2022,74.6,76.2,74.3,74.5,324312.0,1417.0,,,,,,
02/10/2022,74.6,75.3,74.3,74.5,217163.0,931.0,,,,,,
02/13/2022,74.5,74.7,72.3,72.7,396729.0,2078.0,,,,,,
02/14/2022,73.0,73.5,71.4,71.7,313340.0,2008.0,,,,,,
02/15/2022,71.7,72.2,70.6,70.9,210867.0,1179.0,,,,,,
02/16/2022,71.0,71.6,69.5,70.0,269964.0,1396.0,,,,,,
02/17/2022,69.2,70.1,66.8,67.2,520588.0,1882.0,,,,,,
02/20/2022,67.2,68.0,64.2,64.6,605811.0,1670.0,,,,,,
02/22/2022,64.6,66.0,64.5,65.2,249488.0,963.0,,,,,,
02/23/2022,65.3,66.1,64.7,64.9,198253.0,1112.0,,,,,,
02/24/2022,65.0,65.0,61.0,61.5,798515.0,2166.0,,,,,,
02/27/2022,61.2,61.3,57.0,57.4,683153.0,2344.0,,,,,,
02/28/2022,57.3,60.0,57.3,58.5,261898.0,1320.0,,,,,,
03/01/2022,59.2,60.8,58.5,59.3,572560.0,1669.0,,,,,,
03/02/2022,59.5,59.9,58.1,58.6,247390.0,892.0,,,,,,
03/03/2022,58.5,59.5,57.5,58.5,187980.0,923.0,,,,,,
03/06/2022,58.6,59.3,57.3,57.5,197220.0,708.0,,,,,,
03/07/2022,58.3,58.3,53.2,53.8,343793.0,1122.0,,,,,,
03/08/2022,54.0,54.8,51.6,54.0,283358.0,1007.0,,,,,,
03/09/2022,55.5,59.1,54.5,58.0,432600.0,1288.0,,,,,,
03/10/2022,58.8,62.3,58.6,61.0,734322.0,1963.0,,,,,,
03/13/2022,61.0,61.8,59.9,60.2,389064.0,1166.0,,,,,,
03/14/2022,60.6,62.2,60.3,60.6,404186.0,1206.0,,,,,,
03/15/2022,60.7,61.4,59.5,59.8,272995.0,1020.0,,,,,,
03/16/2022,59.6,60.5,59.1,59.3,242822.0,599.0,,,,,,
03/20/2022,58.6,59.9,58.2,58.2,174107.0,490.0,,,,,,
03/21/2022,58.0,59.2,57.2,57.7,208006.0,714.0,,,,,,
03/22/2022,57.8,58.8,57.2,57.6,145954.0,580.0,,,,,,
03/23/2022,58.5,59.1,57.8,57.8,253902.0,853.0,,,,,,
03/24/2022,58.7,58.7,57.4,57.9,100626.0,459.0,,,,,,
03/27/2022,58.5,58.5,56.8,56.9,188847.0,640.0,,,,,,
03/28/2022,57.5,58.9,57.3,57.8,191065.0,687.0,,,,,,
03/29/2022,58.2,58.5,57.8,58.0,152514.0,447.0,,,,,,
03/30/2022,58.0,61.3,58.0,60.2,545170.0,1441.0,,,,,,
03/31/2022,61.0,61.7,59.0,59.2,256044.0,702.0,,,,,,
